Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,Scroll,user_engagement,SpecialDay,Month,OperatingSystems,Browser,Region,VisitorType,Weekend,Revenue
-0.696997021575034,-0.4571914023726529,,-0.24493050612963665,-0.6910031807070663,-0.6243475187901789,3.667188794132383,3.2293155947588805,-0.3088213656157659,Feb,-1.2334263653856892,-0.7902652989452005,-0.8941784945554541,Returning_Visitor,False,False
-0.696997021575034,-0.4571914023726529,,-0.24493050612963665,-0.66851798144781,-0.5909025573961064,-0.45768299649364924,1.1714725001283468,-0.3088213656157659,Feb,-0.1360782821758221,-0.20796952431150065,-0.8941784945554541,Returning_Visitor,False,False
-0.696997021575034,-0.4571914023726529,,-0.24493050612963665,-0.6910031807070663,-0.6243475187901789,3.667188794132383,3.2293155947588805,-0.3088213656157659,Feb,2.058617884243912,-0.7902652989452005,2.4370813423954845,Returning_Visitor,False,False
-0.696997021575034,-0.4571914023726529,,-0.24493050612963665,-0.66851798144781,-0.6229539787319183,0.5735349511628588,1.99460973798056,-0.3088213656157659,Feb,0.9612698010340449,-0.20796952431150065,-0.47777101493658675,Returning_Visitor,False,False
-0.696997021575034,-0.4571914023726529,,-0.24493050612963665,-0.48863638737375986,-0.2964301238717338,-0.04519581743104602,0.14255095281307992,-0.3088213656157659,Feb,0.9612698010340449,0.3743262503221992,-0.8941784945554541,Returning_Visitor,True,False
-0.696997021575034,-0.4571914023726529,,-0.24493050612963665,-0.2862695940404534,-0.5437573552885533,-0.13203521703653337,-0.3809354383438792,-0.3088213656157659,Feb,-0.1360782821758221,-0.20796952431150065,-0.8941784945554541,Returning_Visitor,False,False
-0.696997021575034,-0.4571914023726529,,-0.24493050612963665,-0.6910031807070663,-0.6243475187901789,3.667188794132383,3.2293155947588805,1.7021463861890365,Feb,-0.1360782821758221,0.956622024955899,-0.06136353531771945,Returning_Visitor,False,False
-0.3959705174961583,-0.4571914023726529,,-0.24493050612963665,-0.7134883799663226,-0.6243475187901789,3.667188794132383,3.2293155947588805,-0.3088213656157659,Feb,-1.2334263653856892,-0.20796952431150065,-0.8941784945554541,Returning_Visitor,True,False
-0.696997021575034,-0.4571914023726529,,-0.24493050612963665,-0.66851798144781,-0.6050121504842307,-0.45768299649364924,1.1714725001283468,3.713114137993839,Feb,-0.1360782821758221,-0.20796952431150065,-0.47777101493658675,Returning_Visitor,False,False
-0.696997021575034,-0.4571914023726529,,-0.24493050612963665,-0.6460327821885538,-0.23868530771478053,-0.45768299649364924,-0.42907213360171964,1.7021463861890365,Feb,-0.1360782821758221,0.956622024955899,-0.8941784945554541,Returning_Visitor,False,False
-0.696997021575034,-0.4571914023726529,,-0.24493050612963665,-0.6460327821885538,-0.41792939768613774,-0.45768299649364924,0.48552480877764587,-0.3088213656157659,Feb,-1.2334263653856892,-0.7902652989452005,-0.06136353531771945,Returning_Visitor,False,False
-0.696997021575034,-0.4571914023726529,,-0.24493050612963665,-0.3537251918182222,-0.41126653428341237,-0.07097626612245872,-0.35476113524877595,1.7021463861890365,Feb,-1.2334263653856892,-0.7902652989452005,0.3550439443011479,Returning_Visitor,False,False
-0.696997021575034,-0.4571914023726529,,-0.24493050612963665,-0.5560919851515287,-0.47776452393022056,-0.45768299649364924,-0.29841541578842123,-0.3088213656157659,Feb,-1.2334263653856892,-0.7902652989452005,-0.8941784945554541,Returning_Visitor,False,False
-0.696997021575034,-0.4571914023726529,,-0.24493050612963665,-0.578577184410785,-0.5731349216555054,-0.45768299649364924,0.48552480877764587,-0.3088213656157659,Feb,-0.1360782821758221,1.5389177995895988,-0.8941784945554541,Returning_Visitor,False,False
-0.696997021575034,-0.4571914023726529,,-0.24493050612963665,-0.66851798144781,-0.5888122473089769,-0.45768299649364924,1.1714725001283468,-0.3088213656157659,Feb,0.9612698010340449,-0.20796952431150065,-0.06136353531771945,Returning_Visitor,False,False
-0.09494401341728259,-0.15737005968875642,,-0.24493050612963665,-0.19632879700342828,0.24746078432326832,-0.2858133454256842,-0.5506821410239724,-0.3088213656157659,Feb,-1.2334263653856892,-0.7902652989452005,2.4370813423954845,Returning_Visitor,False,False
-0.696997021575034,-0.4571914023726529,-0.3626872344496119,-0.24493050612963665,-0.6910031807070663,-0.6243475187901789,3.667188794132383,3.2293155947588805,-0.3088213656157659,Feb,-1.2334263653856892,-0.7902652989452005,0.3550439443011479,Returning_Visitor,False,False
-0.696997021575034,-0.4571914023726529,,-0.24493050612963665,-0.42118078959599103,-0.44930146822638756,-0.45768299649364924,-0.7280749655064748,-0.3088213656157659,Feb,-1.2334263653856892,-0.7902652989452005,-0.8941784945554541,Returning_Visitor,True,False
-0.696997021575034,-0.4571914023726529,,-0.24493050612963665,-0.66851798144781,-0.6076250380931426,-0.45768299649364924,1.1714725001283468,-0.3088213656157659,Feb,-0.1360782821758221,-0.20796952431150065,-0.8941784945554541,Returning_Visitor,False,False
-0.696997021575034,-0.4571914023726529,,-0.24493050612963665,-0.26378439478119714,0.9335431700709266,-0.45768299649364924,-0.6805862850391337,-0.3088213656157659,Feb,-0.1360782821758221,0.956622024955899,0.3550439443011479,Returning_Visitor,False,False
-0.696997021575034,-0.4571914023726529,,-0.24493050612963665,-0.5336067858922724,-0.5531898795567253,-0.45768299649364924,-0.7148836768091195,4.71859801389624,Feb,-0.1360782821758221,-0.20796952431150065,0.7714514239200152,Returning_Visitor,True,False
-0.696997021575034,-0.4571914023726529,,-0.24493050612963665,-0.66851798144781,-0.6243475187901789,3.667188794132383,3.2293155947588805,-0.3088213656157659,Feb,0.9612698010340449,0.3743262503221992,-0.8941784945554541,Returning_Visitor,False,False
-0.696997021575034,-0.4571914023726529,,-0.24493050612963665,-0.6460327821885538,-0.5694768790030287,-0.45768299649364924,-0.20042290315148603,-0.3088213656157659,Feb,0.9612698010340449,-0.20796952431150065,-0.8941784945554541,Returning_Visitor,False,False
-0.696997021575034,-0.4571914023726529,,-0.24493050612963665,-0.66851798144781,-0.6165088559634432,-0.45768299649364924,1.1714725001283468,3.713114137993839,Feb,-0.1360782821758221,0.956622024955899,-0.8941784945554541,Returning_Visitor,False,False
-0.696997021575034,-0.4571914023726529,,-0.24493050612963665,-0.6910031807070663,-0.6243475187901789,3.667188794132383,3.2293155947588805,-0.3088213656157659,Feb,-0.1360782821758221,-0.20796952431150065,0.3550439443011479,Returning_Visitor,True,False
-0.696997021575034,-0.4571914023726529,,-0.24493050612963665,-0.6010623836700413,-0.5428254253921272,-0.45768299649364924,-0.0632333566499734,-0.3088213656157659,Feb,-1.2334263653856892,-0.7902652989452005,2.4370813423954845,Returning_Visitor,False,False
0.5071089947404688,-0.09174878468624324,,-0.24493050612963665,0.006037996329878177,-0.030989775123083593,-0.3987562536812261,-0.6903855280714547,-0.3088213656157659,Feb,-0.1360782821758221,-0.20796952431150065,-0.8941784945554541,Returning_Visitor,False,False
-0.696997021575034,-0.4571914023726529,,-0.24493050612963665,-0.6235475829292975,-0.5846316271347178,0.5735349511628588,1.1714725001283468,-0.3088213656157659,Feb,-1.2334263653856892,-0.7902652989452005,-0.8941784945554541,Returning_Visitor,False,False
-0.696997021575034,-0.4571914023726529,,-0.24493050612963665,-0.6235475829292975,-0.5914251349178887,-0.45768299649364924,0.14255095281307992,0.6966625102866353,Feb,-0.1360782821758221,2.1212135742232987,-0.8941784945554541,Returning_Visitor,False,False
-0.3959705174961583,-0.4232493635782495,,-0.24493050612963665,0.2983455867002097,0.2027620538108872,0.4390282650282306,0.15945111269831894,1.7021463861890365,Feb,0.9612698010340449,-0.20796952431150065,-0.8941784945554541,Returning_Visitor,False,False
-0.696997021575034,-0.4571914023726529,,-0.24493050612963665,-0.66851798144781,-0.6060573055277955,-0.45768299649364924,1.1714725001283468,-0.3088213656157659,Feb,-1.2334263653856892,-0.7902652989452005,1.1878589035388825,Returning_Visitor,False,False
-0.696997021575034,-0.4571914023726529,,-0.24493050612963665,-0.6460327821885538,-0.583586472091153,-0.45768299649364924,0.48552480877764587,-0.3088213656157659,Feb,-1.2334263653856892,-0.20796952431150065,1.1878589035388825,Returning_Visitor,True,False
-0.696997021575034,-0.4571914023726529,,-0.24493050612963665,-0.5336067858922724,-0.5148675279767697,-0.45768299649364924,-0.3719098208445535,-0.3088213656157659,Feb,-0.1360782821758221,-0.20796952431150065,-0.8941784945554541,Returning_Visitor,False,False
-0.696997021575034,-0.4571914023726529,,-0.24493050612963665,-0.48863638737375986,-0.5283674472720621,0.3672913616315572,0.7599038812022402,-0.3088213656157659,Feb,-1.2334263653856892,-0.7902652989452005,-0.06136353531771945,Returning_Visitor,False,False
-0.696997021575034,-0.4571914023726529,,-0.24493050612963665,-0.39869559033673474,-0.4255067717519823,-0.16304930305589235,-0.29841541578842123,-0.3088213656157659,Feb,-0.1360782821758221,-0.20796952431150065,-0.8941784945554541,Returning_Visitor,False,False
-0.696997021575034,-0.4571914023726529,-0.3626872344496119,-0.24493050612963665,0.45574198151500367,0.46587610325707884,-0.14038517437793868,-0.46754676164792697,-0.3088213656157659,Feb,-0.1360782821758221,-0.20796952431150065,1.6042663831577497,Returning_Visitor,False,False
-0.696997021575034,-0.4571914023726529,,-0.24493050612963665,-0.5336067858922724,-0.42158744033861445,0.05792597733460479,0.2711661462274883,-0.3088213656157659,Feb,0.9612698010340449,-0.20796952431150065,-0.8941784945554541,Returning_Visitor,True,False
